EmployeeID,Name,Age,Department,Role,Status,Region,City,HireDate,Salary,Performance,Headcount
E0001,Person 1,25,Marketing,Designer,Active,West,Seattle,2022-04-02,480000,4.0,1
E0002,Person 2,82,Engineering,Data Engineer,On Leave,East,Boston,2020-07-09,80370,3.9,3
E0003,Person 3,36,Operations,Program Manager,Contractor,East,Boston,2025-05-08,75771,2.9,0
E0004,Person 4,30,Sales,Sales Manager,Active,South,Atlanta,2024-11-07,89525,0.2,1
E0005,Person 5,58,Support,Support Specialist,On Leave,West,Portland,2020-08-13,80834,3.1,0
E0006,Person 6,56,Operations,Program Manager,On Leave,West,San Francisco,2022-10-27,77958,3.9,0
E0007,Person 7,37,Engineering,Data Engineer,Active,West,Portland,2023-12-16,105242,3.9,1
E0008,Person 8,29,Marketing,Content Lead,Active,South,Atlanta,2020-06-12,81222,3.6,1
E0009,Person 9,57,Sales,SDR,Active,East,Philadelphia,2024-04-28,59058,3.0,0
E0010,Person 10,51,Operations,Program Manager,Active,North,Minneapolis,2023-04-16,99246,3.7,0
E0011,Person 11,58,Support,Success Manager,Active,Central,Denver,2023-09-01,125407,3.5,0
E0012,Person 12,32,Sales,SDR,Active,North,Minneapolis,2022-01-11,75896,3.1,2
E0013,Person 13,53,Engineering,Data Engineer,On Leave,North,Minneapolis,2022-03-25,109191,4.0,3
E0014,Person 14,48,Finance,Analyst,Active,South,Austin,2021-08-07,119175,3.5,0
E0015,Person 15,36,Engineering,Data Engineer,Active,West,San Francisco,2021-05-04,125849,3.7,0
E0016,Person 16,45,Engineering,Staff Engineer,Active,North,Minneapolis,2023-01-13,79839,3.2,1
E0017,Person 17,47,Support,Success Manager,Inactive,South,Austin,2022-03-28,85223,3.8,0
E0018,Person 18,32,Sales,Account Exec,Active,West,Portland,2022-07-05,110800,4.2,0
E0019,Person 19,45,Operations,Program Manager,Active,East,Boston,2025-05-11,86808,3.4,2
E0020,Person 20,45,Marketing,Growth Marketer,Active,Central,Dallas,2023-06-01,83205,3.7,1
E0021,Person 21,28,Marketing,Designer,Active,East,Boston,2020-11-05,91939,2.5,1
E0022,Person 22,55,Sales,Sales Manager,Active,West,San Francisco,2025-05-15,74205,4.4,2
E0023,Person 23,45,Sales,Sales Manager,Active,Central,Denver,2022-12-11,106150,3.2,3
E0024,Person 24,36,Operations,Ops Coordinator,Active,Central,Dallas,2023-08-10,67971,2.8,2
E0025,Person 25,53,Engineering,Data Engineer,Active,West,San Francisco,2022-12-10,89312,3.7,0
E0026,Person 26,44,Engineering,Data Engineer,Active,South,Austin,2025-05-26,51977,4.1,0
E0027,Person 27,34,Sales,Account Exec,On Leave,West,San Francisco,2022-09-03,81176,4.3,2
E0028,Person 28,29,Marketing,Growth Marketer,Active,East,Boston,2024-09-19,118515,2.9,1
E0029,Person 29,47,Support,Support Specialist,Active,Central,Chicago,2020-07-10,63104,3.9,0
E0030,Person 30,51,Sales,SDR,On Leave,West,Portland,2023-05-08,95517,3.2,0
E0031,Person 31,30,Engineering,Staff Engineer,Inactive,South,Austin,2023-02-10,123970,3.8,1
E0032,Person 32,34,Support,Support Specialist,Active,West,San Francisco,2022-06-21,97706,3.2,1
E0033,Person 33,38,Engineering,Staff Engineer,Active,South,Atlanta,2021-11-12,59192,3.2,1
E0034,Person 34,55,Support,Support Specialist,On Leave,South,Miami,2024-08-10,56669,4.3,0
E0035,Person 35,50,Operations,Ops Coordinator,Active,South,Austin,2020-02-22,96086,2.7,1
E0036,Person 36,25,Operations,Program Manager,On Leave,East,Boston,2023-02-27,82002,4.4,1
E0037,Person 37,39,Sales,Sales Manager,Active,West,Seattle,2021-02-09,99878,3.7,3
